"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"HSPA12A",2.75e-06,3.16e-06,2.52e-05,1.28e-05,0,0,1,0,0.498172209599412,0.718651922348997,0.932673220986859
"LSM14B",2.57e-06,4.11e-06,1.55e-05,7.74e-06,0,0,0,0,0.498033041559546,0.718707619099119,0.932675931964062
"CHRM5",2.54e-06,4.27e-06,1.47e-05,5.55e-06,0,0,0,0,0.498004615512107,0.718755204672038,0.932678642665294
"HHIP",2.62e-06,3.85e-06,1.98e-05,8.33e-06,0,0,0,0,0.497968621963339,0.718804953225545,0.932681353124297
"ZNF451",2.81e-06,2.86e-06,1.43e-05,5.28e-06,0,0,1,0,0.497953316366469,0.718853620288758,0.932684063249058
"HPSE",2.85e-06,2.66e-06,1.52e-05,7.3e-06,0,0,0,0,0.497823235251288,0.718955821121505,0.932686773550396
"MBNL1",2.42e-06,4.92e-06,1.3e-05,5.39e-06,0,0,2,0,0.497777444354268,0.719003406694425,0.932689483653216
"PTGS2",2.66e-06,3.65e-06,1.72e-05,6.7e-06,0,0,0,0,0.497776759127327,0.719056940463959,0.932692193356873
"NT5C2",2.97e-06,2.05e-06,1.63e-05,5.57e-06,0,0,1,0,0.497707751829359,0.719164548748175,0.932694902965422
"ZNF599",3.03e-06,1.75e-06,1.59e-05,6.2e-06,0,0,0,0,0.497594883317017,0.719217541772563,0.932697612674014
"DHX32",2.75e-06,3.19e-06,1.96e-05,8.31e-06,0,0,1,0,0.497586109014046,0.719266208835776,0.932700322019574
"KIAA0020",3.23e-06,7.45e-07,1.67e-05,7.17e-06,0,0,0,0,0.497530036433319,0.71931812036987,0.932703031212572
"SLFN5",2.98e-06,2.01e-06,2.41e-05,9.67e-06,0,0,1,0,0.497488501469977,0.71936895041367,0.932705740188382
"PRB2",3.38e-06,1.69e-09,9.77e-06,3.52e-06,0,0,0,0,0.497485275545204,0.719422484183204,0.932708448776674
"AACS",2.73e-06,3.3e-06,2.39e-05,1.23e-05,0,0,0,0,0.497471182267136,0.719471151246418,0.932711157025863
"TXLNG",3.14e-06,1.2e-06,1.56e-05,6.95e-06,0,0,0,0,0.497463443206056,0.719522522035365,0.932713864907769
"FAF2",3.14e-06,1.21e-06,1.43e-05,5.03e-06,0,0,1,1,0.497262885585759,0.719625804358406,0.932716573279856
